dealer,model,slot,market,freight,date
4,53VT2V FL US-97 <CONTAINER CHASSIS>,44.0,0.0,0.0,2021-05-17
4,53VT2V JB HUNT <CONTAINER CHASSIS>,44.0,0.0,0.0,2021-05-17
4,33VT2V DCI Tag <CONTAINER CHASSIS>,44.0,0.0,0.0,2021-05-17
4,40CC2X <CONTAINER CHASSIS>,44.0,0.0,0.0,2021-05-17
4,53VT3X DCI V2021 <CONTAINER CHASSIS>,44.0,0.0,0.0,2021-05-17
4,53VT3V PENSKE <CONTAINER CHASSIS>,44.0,0.0,0.0,2021-05-17
4,53VT2V Frito Lay <CONTAINER CHASSIS>,44.0,0.0,0.0,2021-05-17
4,53VT2V FL US <CONTAINER CHASSIS>,44.0,0.0,0.0,2021-05-17
4,40GT1X <CONTAINER CHASSIS>,44.0,0.0,0.0,2021-05-17
4,20VT1V Mexico <CONTAINER CHASSIS>,44.0,0.0,0.0,2021-05-17
4,53VT2V CAL <CONTAINER CHASSIS>,44.0,0.0,0.0,2021-05-17
4,38GT2X <CONTAINER CHASSIS>,44.0,0.0,0.0,2021-05-17
4,51GT2X <CONTAINER CHASSIS>,44.0,0.0,0.0,2021-05-17
4,47GT2X <CONTAINER CHASSIS>,44.0,0.0,0.0,2021-05-17
4,10GT1X <CONTAINER CHASSIS>,44.0,0.0,0.0,2021-05-17
4,34VT1V Hostler <CONTAINER CHASSIS>,44.0,0.0,0.0,2021-05-17
4,53VT2V DCI LD <CONTAINER CHASSIS>,44.0,0.0,0.0,2021-05-17
4,53VT2V FL CA-53 <CONTAINER CHASSIS>,44.0,0.0,0.0,2021-05-17
4,10GT2X <CONTAINER CHASSIS>,44.0,0.0,0.0,2021-05-17
4,12GT2X <CONTAINER CHASSIS>,44.0,0.0,0.0,2021-05-17
4,42DD3X <NUCLEAR>,44.0,0.0,0.0,2021-05-17
4,42DD3X WCS <NUCLEAR>,44.0,0.0,0.0,2021-05-17
4,42DD2X <NUCLEAR>,44.0,0.0,0.0,2021-05-17
4,46DD4X WCS <NUCLEAR>,44.0,0.0,0.0,2021-05-17
4,40NS2 US <NUCLEAR>,44.0,0.0,0.0,2021-05-17
4,44DD2X <NUCLEAR>,44.0,0.0,0.0,2021-05-17
4,49DD3X HD <NUCLEAR>,44.0,0.0,0.0,2021-05-17
4,50DD4X <NUCLEAR>,44.0,0.0,0.0,2021-05-17
4,51DD3X HD <NUCLEAR>,44.0,0.0,0.0,2021-05-17
4,50DD3X <NUCLEAR>,44.0,0.0,0.0,2021-05-17
4,53DD4X <NUCLEAR>,44.0,0.0,0.0,2021-05-17
4,47DD3X <NUCLEAR>,44.0,0.0,0.0,2021-05-17
4,45DD3X <NUCLEAR>,44.0,0.0,0.0,2021-05-17
4,53ET3X MR WEST <EQUIPMENT>,44.0,0.0,0.0,2021-05-17
4,48ET3X MR <EQUIPMENT>,44.0,0.0,0.0,2021-05-17
4,42ET2X <EQUIPMENT>,44.0,0.0,0.0,2021-05-17
4,48ET2X <EQUIPMENT>,44.0,0.0,0.0,2021-05-17
4,53ET2X <EQUIPMENT>,44.0,0.0,0.0,2021-05-17
4,53ET4X MR <EQUIPMENT>,44.0,0.0,0.0,2021-05-17
4,53ET3X MR EAST <EQUIPMENT>,44.0,0.0,0.0,2021-05-17
