IDStd,Model No,Standard No,Group,Section,Description,Start Date,End Date,SortG,SortSe,Selection,SortGv2,SortSev2,New Spec Wording
11944409,Pony Dump 3X17,Pony Dump 3X17-034,GENERAL SPECIFICATIONS,Calcium Tank,"Bracket Only, located behind toolbox",NULL,NULL,NULL,NULL,NULL,73,140,NULL
11944410,Pony Dump 3X17,Pony Dump 3X17-045,CHASSIS,Flanges,"3/8 in. Domex 100 XF Top and Bottom",NULL,NULL,NULL,NULL,NULL,28,70,NULL
11944411,Pony Dump 3X17,Pony Dump 3X17-059,BODY,Hoist Access Door,"No",NULL,NULL,NULL,NULL,NULL,34,290,NULL
11944412,Pony Dump 3X17,Pony Dump 3X17-114,GENERAL SPECIFICATIONS,Wear Pad,"No",NULL,NULL,NULL,NULL,NULL,73,220,NULL
11944413,Pony Dump 3X17,Pony Dump 3X17-033,GENERAL SPECIFICATIONS,Shovel Holder,"Included, located at front",NULL,NULL,NULL,NULL,NULL,73,150,NULL
11944414,Pony Dump 3X17,Pony Dump 3X17-069,BODY,Tailgate Locking,"Electric over Air Cylinder 4 in. x 8 in.",NULL,NULL,NULL,NULL,NULL,34,190,NULL
11944415,Pony Dump 3X17,Pony Dump 3X17-085,BODY,Height,"48 in.",NULL,NULL,NULL,NULL,NULL,34,30,NULL
11944416,Pony Dump 3X17,Pony Dump 3X17-091,TRAILER,Rear Overhang,"6 in.",NULL,NULL,NULL,NULL,NULL,1,50,NULL
11944417,Pony Dump 3X17,Pony Dump 3X17-105,SUSPENSION/AXLES,Tires,"12 of 11R22.5 Continental HRS2",NULL,NULL,NULL,NULL,NULL,40,200,NULL
11944418,Pony Dump 3X17,Pony Dump 3X17-026,GENERAL SPECIFICATIONS,Electrical System,"LED Grote",NULL,NULL,10,1,NULL,73,10,NULL
11944419,Pony Dump 3X17,Pony Dump 3X17-074,BODY,Liner,"No",NULL,NULL,NULL,NULL,NULL,34,140,NULL
11944422,Pony Dump 3X17,Pony Dump 3X17-028,GENERAL SPECIFICATIONS,Lights,"3 lights per side in siderail, including side signal, 3 lights per side at rear, 5 of 2 1/2 in. lights at center rear and 1 set midway turns located on tongue",NULL,NULL,10,2,NULL,73,30,NULL
11944423,Pony Dump 3X17,Pony Dump 3X17-031,GENERAL SPECIFICATIONS,Color,"Black",NULL,NULL,NULL,NULL,NULL,73,120,NULL
11944425,Pony Dump 3X17,Pony Dump 3X17-067,BODY,Compression/Winder Locks,"No",NULL,NULL,NULL,NULL,NULL,34,210,NULL
11944426,Pony Dump 3X17,Pony Dump 3X17-072,BODY,Side Board Color,"Black",NULL,NULL,NULL,NULL,NULL,34,160,NULL
11944427,Pony Dump 3X17,Pony Dump 3X17-089,TRAILER,Cubic Capacity,"20 Cubic Yards",NULL,NULL,NULL,NULL,NULL,1,70,NULL
11944428,Pony Dump 3X17,Pony Dump 3X17-111,GENERAL SPECIFICATIONS,Document Holder,"Located behind landing gear",NULL,NULL,NULL,NULL,NULL,73,190,NULL
11944429,Pony Dump 3X17,Pony Dump 3X17-111,GENERAL SPECIFICATIONS,Fenders,"1/4 in. Stainless, located on front axle",NULL,NULL,NULL,NULL,NULL,73,200,NULL
11944430,Pony Dump 3X17,Pony Dump 3X17-047,CHASSIS,Beams,"T 1 Steel",NULL,NULL,NULL,NULL,NULL,28,30,NULL
11944431,Pony Dump 3X17,Pony Dump 3X17-062,BODY,Grain Door,"No",NULL,NULL,NULL,NULL,NULL,34,260,NULL
11944432,Pony Dump 3X17,Pony Dump 3X17-097,SUSPENSION/AXLES,Wheel Monitor,"RM 50",NULL,NULL,NULL,NULL,NULL,40,70,NULL
11944433,Pony Dump 3X17,Pony Dump 3X17-049,CHASSIS,Frame Type,"Steel",NULL,NULL,NULL,NULL,NULL,28,10,NULL
11944434,Pony Dump 3X17,Pony Dump 3X17-055,BODY,Rear Steps,"Outside, Welded on Driver Side and Inside to be shipped loose",NULL,NULL,NULL,NULL,NULL,34,330,NULL
11944435,Pony Dump 3X17,Pony Dump 3X17-061,BODY,Hoist,"Custom Hoist 135 (74-4561-135) with a Dumping Angle of 47 degrees",NULL,NULL,NULL,NULL,NULL,34,270,NULL
11944436,Pony Dump 3X17,Pony Dump 3X17-090,TRAILER,Weight lbs +/- 2%,"12,900",NULL,NULL,NULL,NULL,NULL,1,60,NULL
11944437,Pony Dump 3X17,Pony Dump 3X17-093,TRAILER,Overall Height to top of box side wall,"103 3/4 in.",NULL,NULL,NULL,NULL,NULL,1,30,NULL
11944438,Pony Dump 3X17,Pony Dump 3X17-107,GENERAL SPECIFICATIONS,Back up Lights,"No",NULL,NULL,NULL,NULL,NULL,73,40,NULL
11944439,Pony Dump 3X17,Pony Dump 3X17-013,SUSPENSION/AXLES,Axles,"77 1/2 in. track, 30,000 lb Capacity",NULL,NULL,7,1,NULL,40,10,NULL
11944440,Pony Dump 3X17,Pony Dump 3X17-052,BODY,Tarp Shield,"Included",NULL,NULL,NULL,NULL,NULL,34,360,NULL
11944441,Pony Dump 3X17,Pony Dump 3X17-075,BODY,Fork Lift Package,"No",NULL,NULL,NULL,NULL,NULL,34,130,NULL
11944442,Pony Dump 3X17,Pony Dump 3X17-094,TRAILER,Overall Width,"102 in.",NULL,NULL,NULL,NULL,NULL,1,20,NULL
11944443,Pony Dump 3X17,Pony Dump 3X17-096,SUSPENSION/AXLES,Air Tanks,"Steel",NULL,NULL,NULL,NULL,NULL,40,60,NULL
11944444,Pony Dump 3X17,Pony Dump 3X17-101,SUSPENSION/AXLES,Camshafts,"28 Spline, enclosed",NULL,NULL,NULL,NULL,NULL,40,140,NULL
11944445,Pony Dump 3X17,Pony Dump 3X17-112,GENERAL SPECIFICATIONS,Sock Adapter,"No",NULL,NULL,NULL,NULL,NULL,73,210,NULL
11944446,Pony Dump 3X17,Pony Dump 3X17-112,GENERAL SPECIFICATIONS,Broom Holder,"Included, located at front",NULL,NULL,NULL,NULL,NULL,73,160,NULL
11944447,Pony Dump 3X17,Pony Dump 3X17-073,BODY,Side Boards,"2 in. x 12 in. Spruce",NULL,NULL,NULL,NULL,NULL,34,150,NULL
11944448,Pony Dump 3X17,Pony Dump 3X17-082,BODY,Bulkhead,"58 1/4 in.",NULL,NULL,NULL,NULL,NULL,34,60,NULL
