Text0,Text5,Text12,Text10,Text13,Text14,JobDesc,Text68,Text25,Text27,Text29,Text31,Text33,Text35,Text66,Text15,Text17,Text19,Text21,Text23,Text67,StockCode,StockDescription,Uom,WarehouseToUse,QtyRequired,QtyIssued,QtyVariance,ValueRequried,,ValueIssued,,Variance,,Text37,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,10,401530,ISOLATOR RUBBER/AIRTANK,EA,04,6,0,-6,4.67,,0,,-4.67,,-100,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,10,401824,ABS KIT 2S/1M,EA,04,1,0,-1,274.69,,0,,-274.69,,-100,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,10,401886,CABLE #201198BC USED ON,EA,04,3,0,-3,23.19,,0,,-23.19,,-100,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,10,40192,GLAD HAND SERVICE GHS-SC,EA,04,1,0,-1,2.17,,0,,-2.17,,-100,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,10,40193,GLAD HAND EMERGENCY GHE-SC,EA,04,1,0,-1,2.17,,0,,-2.17,,-100,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,10,40195,BOLT GLAD HAND TERM 1497-DBS,EA,04,2,0,-2,8.76,,0,,-8.76,,-100,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,10,40198,FITTING 1/4 NPT BRASS PETCOCK,EA,04,3,0,-3,17.46,,0,,-17.46,,-100,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,10,40203,VALVE QUICK RELEASE #TV229859,EA,04,2,0,-2,24.63,,0,,-24.63,,-100,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,10,402051,BRAKE MAXI 3030 1713030016,EA,04,6,0,-6,461.46,,0,,-461.46,,-100,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,10,402195,MODUAL RM-60-NK REV/MATIC,EA,04,1,0,-1,287.38,,0,,-287.38,,-100,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,10,402195-1,HARNESS #RM-200508,EA,04,1,0,-1,35.01,,0,,-35.01,,-100,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,10,402195-2,HARNESS #RM-60-7 BULLET,EA,04,1,0,-1,63.79,,0,,-63.79,,-100,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,10,402431,VALVE KIT HEIGHT CONTROL,EA,04,1,0,-1,130.84,,0,,-130.84,,-100,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,10,402677,BOLT GLAD HAND TERM 1495-C,EA,04,16,0,-16,56.32,,0,,-56.32,,-100,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,10,40358,940-5 HOSE SPACER,EA,04,6,0,-6,3.36,,0,,-3.36,,-100,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,10,40482,BOLT TERMINAL #1495B-A,EA,04,1,0,-1,2.89,,0,,-2.89,,-100,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,10,40511,HOSE AIR 3/8 RUBBER HAB-6-24C,EA,04,12,0,-12,56.18,,0,,-56.18,,-100,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,10,40657,CONTROL BOX RA013-DUAL-1G,EA,01,1,0,-1,556.25,,0,,-556.25,,-100,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,10,40839,VALVE PRES. PROTECTION,EA,04,2,0,-2,28.23,,0,,-28.23,,-100,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,10,40853,VALVE RELAY 2 PORT N30108BD,EA,04,2,0,-2,59.53,,0,,-59.53,,-100,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,10,40950039,BRACKET RIDE HEIGHT,EA,04,2,0,-2,12.58,,0,,-12.58,,-100,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,11,06037,REFLECTOR AMBER #B491A,EA,04,2,0,-2,1.34,,0,,-1.34,,-100,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,11,06038,REFLECTOR RED B491R,EA,04,2,0,-2,1.34,,0,,-1.34,,-100,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,11,100121,DECAL DO NOT DRILL,EA,04,2,0,-2,3.8,,0,,-3.8,,-100,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,11,100166,"DECAL WARNING ""BWS LIABILITY""",EA,04,1,0,-1,1.88,,0,,-1.88,,-100,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,11,100202,DECAL BWS 5-1/2 X 19,SET,04,1,0,-1,15.9,,0,,-15.9,,-100,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,11,100400,DECAL WARNING AIR SUSPENSION,EA,04,1,0,-1,1.9,,0,,-1.9,,-100,,,,,,,,,,,,
